#item	amount -- TODO: organize this
[2369]filthy poultice	0

[7843]special clip: boneburners	0
[7844]special clip: graveburpers	0
[7842]special clip: splatterers	0
[7841]special clip: squelchers	0
[7839]special clip: tracers	0
[7840]special clip: wailers	0

[6913]warbear whosit	0
[3119]divine can of silly string	0
[3118]divine noisemaker	0
[3120]divine blowout	0

[6741]eternal car battery	1
[7300]sewing kit	1
[6314]fishy pipe	1
[1673]grave robbing shovel	1

[8111]aerogel accordion	0
[7025]Ouija Board, Ouija Board	0
[6042]oil pan	0
[8096]wicker sticker	0

[6302]eleven-foot pole	0
[6303]ring of Detect Boring Doors	0
[280]Pick-O-Matic lockpicks	0

[9566]mafia middle finger ring	0
[3388]Zombo's empty eye	0
[8132]fiberglass fedora	0

[2236]turtle pheromones	0

[620]thin black candle	0

[182]batgut	0
[811]tofu stir-fry	0
[669]ghuol guolash	0

[5168]distention pill	0
[5167]synthetic dog hair pill	0
[4622]Game Grid ticket	0

[8763]BACON	0
[4508]"DRINK ME" potion	0
[5170]transporter transponder	0

[294]pail	0
[2254]bubblewrap bottlecap turtleban	0

[173]taco shell	0

[2328]drum machine	0
[3433]spice melange	0

[459]white pixel	0
[2328]drum machine	0
[6847]killing jar	0
[7266]disposable instant camera	0
[76]Spooky-Gro fertilizer	0
[5643]stone wool	0
[4698]imp air	0
[4699]bus pass	0
[8427]fizzing spore pod	0
[5788]smut orc keepsake box	0
[2947]The Big Book of Pirate Insults	1

[3223]sewer nuggets	0
[3224]sewer wad	0
[3227]C.H.U.M. chum	0
[3225]bottle of sewage schnapps	0
[3226]bottle of Ooze-O	0
[3229]decaying goldfish liver	0

[3230]oil of oiliness	0
[3221]gator skin	0
[3222]gatorskin umbrella	0
[3126]hobo nickel	0

[3935]hyperinflated seal lung	0
[4005]ballast turtle	0

[6328]sushi doily	0
[4197]sea leather	0

[2620]unidentified jerky	0
[3582]white rice	0
[3489]beefy fish meat	0
[3490]glistening fish meat	0
[3491]slick fish meat	0
[3640]seaweed	0
[3642]dragonfish caviar	0
[3495]sea salt crystal	0
[3819]eel sauce	0
[3557]sea avocado	0
[3555]sea carrot	0
[3556]sea cucumber	0
[3817]sea radish	0
[6400]Mer-kin lunchbox	0
[3685]tempura cucumber	0
[3684]tempura carrot	0
[3686]tempura avocado	0
[3689]tempura broccoli	0
[3690]tempura cauliflower	0
[3829]tempura radish	0
[6394]anemone sauce	0
[6395]inky squid sauce	0
[6396]Mer-kin weaksauce	0
[6397]peanut sauce	0
[3497]bottle of Pete's Sake	0
[3564]berry-infused sake	0
[3565]citrus-infused sake	0
[3566]melon-infused sake	0

[3681]bubbling tempura batter	0
[4133]tempura air	0
[3773]seaode	0
[4198]sea lasso	0
[4196]sea cowbell	0
[3575]sand dollar	0
[6322]sea lace	0
[3488]pristine fish scale	0
[3486]dull fish scale	0
[3487]rough fish scale	0

[3607]aerated diving helmet	1
[3997]dolphin whistle	0
[3775]Mer-kin pinkslip	0
[6392]scale-mail underwear	0
[3522]shark jumper	0
[6393]comb jelly	0
[3553]soggy seed packet	0
[3554]glob of green slime	0
[3675]Mer-kin pressureglobe	0
[3682]globe of Deep Sauce	0

[9968]jam band bootleg	0
[266]white lightning	0
[9388]Bloody Nora	0
[10442]drippy truncheon	0
[4621]Game Grid token	0
[5012]Ye Wizard's Shack snack voucher	0
[9226]gingerbread smartphone	0
[9205]sprinkles	0
[9217]gingerbread restraining order	0
[9223]gingerservo	0
[9221]gingerbread mug	0
[9224]tainted icing	0
[9241]industrial frosting	0
[9219]animal part cracker	0
[9220]gingerbread wine	0
[9267]green-iced sweet roll	0
[9266]green rock candy	0

[5132]elven hardtack	0
[5133]elven squeeze	0
[9410]Spacegate Research	0
[9838]Rubee™	0
[9844]FantasyRealm key	0
[9848]LyleCo premium pickaxe	0
[9849]LyleCo premium rope	0
[9839]FantasyRealm Warrior's Helm	0
[9840]FantasyRealm Mage's Hat	0
[9841]FantasyRealm Rogue's Mask	0
[9878]denastified haunch	0
[9879]bad rum and good cola	0
[9880]Potion of Heroism	0
[9870]sachet of strange powder	0
[9869]druidic s'more	0
[9871]mourning wine	0

[9963]very small red dress	0
[9968]jam band bootleg	0
[9947]gas can	0
[9952]electronics kit	0
[9958]Purple Beast energy drink	0
[9967]van key	0
[9957]unremarkable duffel bag	0
[9944]PARTY HARD T-shirt	0
[9959]cosmetic football	0
[10059]magical sausage casing	0
[10207][glitch season reward name]	0

#combat items	item	amount
[474]cast	0
[2041]ferret bait	0
[3391]Frosty's iceball	0
[5703]crayon shavings	0
[6284]brass gear	0
[6459]HOA citation pad	0
[6452]Great Wolf's lice	0
[8789]little red book	0
[6467]Mayor Ghost's scissors	0
[2691]handful of nuts and berries	0
[2575]bronzed locust	0
[3923]hedgeturtle	0
[6418]pencil stub	0
[2956]cocktail napkin	0

#seal clubber	item	amount
[4322]Claw of the Infernal Seal	0
[3934]powdered sealbone	0
[3901]seal-blubber candle	0
[3912]imbued seal-blubber candle	0
[3905]figurine of an ancient seal	0
[4296]depleted uranium seal figurine	0
[3906]figurine of a sleek seal	0
[3908]figurine of a stinking seal	0
[3911]figurine of a slippery seal	0
[3907]figurine of a shadowy seal	0
[3909]figurine of a charred seal	0
[3910]figurine of a cold seal	0

#Gingerbread city
[9219]animal part cracker	0
[9220]gingerbread wine	0
[9267]green-iced sweet roll	0
[9266]green rock candy	0
[9224]tainted icing	0
[9241]industrial frosting	0
