#drinks item	price	quantity
[1554]bottle of Lieutenant Freeman	140	500
[1555]bottle of Jorge Sinsonte	140	500
[1556]boxed champagne	140	500
[1557]kumquat	140	500
[1558]tangerine	140	500
[1559]tonic water	140	500
[1560]cocktail onion	140	500
[1561]raspberry	140	500
[1562]kiwi	140	500
[6322]sea lace	1000	500
[8686]perfect ice cube	1000	100

#potions item	price	quantity	pots
[299]pickle-flavored chewing gum	100	500
[419]serum of sarcasm	120	500
[420]tomato juice of powerful power	120	500
[421]philter of phorce	120	500
[424]ointment of the occult	120	500
[425]oil of expertise	150	50
[426]potion of temporary gr8tness	200	50
[418]Ferrigno's Elixir of Power	200	50
[418]Ferrigno's Elixir of Power	200	50
[794]oil of slipperiness	150	50
[926]Hawking's Elixir of Brilliance	200	50
[1038]Connery's Elixir of Audacity	200	50
[1439]hot powder	200	10
[1440]cold powder	200	10
[1441]spooky powder	200	10
[1442]stench powder	200	10
[1443]sleaze powder	200	10
[1637]lotion of hotness	500	10
[1638]lotion of coldness	500	10
[1639]lotion of spookiness	500	10
[1640]lotion of stench	500	10
[1641]lotion of sleaziness	500	10
[1650]milk of magnesium	400	50
[1794]handful of hand chalk	111	5
[2614]mojo filter	500	50
[2942]chocolate filthy lucre	200	50
[3323]Ol' Scratch's salad fork	15000	50
[3324]Frosty's frosty mug	20000	50
#[4469]BRICKO brick	115	100
[4470]BRICKO eye brick	250	50
[4609]essential tofu	10000	10
[5257]potion of the field gar	7000	10
[5471]resolution: be more adventurous	4000	100
[6251]scroll of Protection from Bad Stuff	200	50
[6343]Mer-kin lipstick	400	50
[7051]recording of Rolando's Rondo of Resisto	10000	50
[7177]crappy waiter disguise	100	5
[7774]specialty ammo bandolier	300	50
[8469]sticky lava globs	500	200
[9183]cornucopia	200	100
[9761]Pok&eacute;-Gro fertilizer	300	200
[9932]sharkfin gumbo	150	100
[9933]boiling broth	150	100
[9934]interrogative elixir	150	100

#combat items item	price	quantity
[1922]gob of wet hair	150	100
[3118]divine noisemaker	105	50
[3119]divine can of silly string	105	50
[3120]divine blowout	105	100
[3121]divine champagne popper	500	500
[3122]divine cracker	120	500
#[3123]divine champagne flute	100	5
[5048]shard of double-ice	123	50
[5703]crayon shavings	250	100
[5750]CSA obedience grenade	200	25
[6028]Battlie Light Saver	150	25
[9952]electronics kit	150	100

#candy item	price	quantity
[2943]Angry Farmer's Wife Candy	150	1000
[3428]Everlasting Deckswabber	150	1000
[4163]children of the candy corn	150	1000
[4176]sugar sheet	150	1000
[4273]ribbon candy	150	1000
[4393]Crimbo peppermint bark	150	1000
[6833]Milk Studs	150	1000
[6835]bag of W&Ws	200	1000
[6836]PEEZ dispenser	200	1000
[6837]Swizzler	200	1000
[7917]BOOterfinger	200	1000

#meat item	price	quantity
[1917]old leather wallet	150	1000
[1918]old coin purse	150	1000
[2057]black pension check	150	1000
[2612]ancient vinyl coin purse	150	1000
[3735]fat wallet	150	1000

# tokens item	price	quantity
[4622]Game Grid ticket	700	100	#for use with coffee pixie stick
[10293]stick of firewood	100	100

# misc item	price	quantity
[588]soft green echo eyedrop antidote	236	200
[2328]drum machine	500	200
[7467]one-day ticket to Spring Break Beach	10000	10
[7768]one-day ticket to Conspiracy Island	100000	10
[8204]one-day ticket to Dinseylandfill	10000	100
[8486]one-day ticket to That 70s Volcano	10000	10
[8675]one-day ticket to The Glaciest	10000	10

# pvp item	price	quantity
[5730]angst burger	200	5
[5731]5-hour acrimony	200	5
[6072]confusing LED clock	200	5
[9119]Shot of Kardashian Gin	2000	200

# vanity item	price	quantity
[142]anticheese	100	100
[2419]bottle of rhinoceros hormones	1000	100
[2420]teeny-tiny magic scroll	1000	100
[2421]bottle of pirate juice	1000	100
[2422]irradiated pet snacks	10000	100
[2423]Mick's IcyVapoHotness Inhaler	10000	100
[2424]cyclops eyedrops	10000	100
[2425]can of spinach	500	100
[2426]fire flower	1000	100
[2427]freezerburned ice cube	750	100
[2428]fake blood	100	100
[2429]Eau de Guaneau	400	100
[2430]bag of lard	500	100
[2431]bottle of Mystic Shell	1000	100
[2432]SPF 451 lip balm	400	100
[2433]bottle of antifreeze	750	100
[2434]black eyedrops	750	100
[2435]Dogsgotnonoz pills	750	100
[2436]donkey flipbook	1000	100
[2438]scented massage oil	1000	100
[2439]poltergeist-in-the-jar-o	100	100
[2440]unnatural gas	100	100
[2449]six-pack of New Cloaca-Cola	5000	10
[2590]distilled fortified wine	1000	50
[2591]tasty tart	1000	50
[2592]Knob Goblin lunchbox	5000	50
[2704]shrinking powder	200	100
[3965]cube of billiard chalk	1000	50
[5346]death blossom	1000	50
[5370]miniature boiler	500	50
[5643]stone wool	200	50
[6300]Super Weight-Gain 9000	3000	10
[6301]possibility potion	500	100
[7222]Flamin' Whatshisname	500	100
[7358]Bram's choker	600	100
[7248]red foxglove	500	100
[9727]heart-shaped candy whetstone	20	200
[9728]Swedish massage fish	20 500
[9729]Third Base	20	200
[9730]Bustle Hustler	20	200
[9731]Fabiotion	20	300
[9732]Bettie page	20	300
[9733]tonic o' Banderas	10	500
[9734]heather graham cracker	20	500
[9735]Lolsipop	10	1000
[9736]heart cozy	10	1000
[9737]eaves droppers	20	500
[9738]personal graffiti kit	20	500
[9739]Mysterious Red Box	20	500
[9740]Mysterious Green Box	20	500
[9741]Mysterious Blue Box	20	500
[9742]Mysterious Black Box	20	750


